Topic,Count,Name
-1,223,-1_Chess-related News and Events___
0,88,0_Chess puzzles for all levels featuring two-move and four-move checkmate challenges___
1,72,1_Chess Campaign and Tournaments___
2,52,2_Chess events and tournaments in June 2023___
3,44,3_Chess-related Social Media Posts___
4,38,4_PISA scores and importance of maths in chess-playing community___
5,36,5_Chess-inspired oil paintings and drawings on canvas and iPad___
6,35,6_Chess Quotes and Motivation from mansoyz_original___
7,28,"7_Chess, exclusivity, and art in digital media___"
8,21,8_Chess in Abu Dhabi with FIDE and Sila Chess hashtags___
9,19,9_Using the Zugzwang Maneuver in Chess for Tactical Dominance___
10,19,"10_Chess tournament at Norway featuring players such as Carlsen, Firouzja, Nakamura, and Mamedyarov___"
11,18,11_Chess Education and Magazines___
12,17,12_Chess education and camp at GokYay Foundation Chess Museum___
13,16,13_The Healing and Creative Power of Staying Home: Lessons from Robert Doisneau and the Pandemic___
14,14,14_Online Store for Official T-shirts and Tips on Being a Leader___
15,14,15_Chess-themed Shift Dress Photoshoot by zarashah05___
16,12,16_Chess tournament and chess-related items___
17,12,17_Chess and Power Dynamics___
18,12,18_Chess achievements of children in various locations and programs___
19,11,19_Handmade Chess and Checkers Sets and Backgammon Board Games.___
20,10,20_Chess games and city views captured on film and in black and white photography.___
21,10,"21_FSLGamer - Easy To Win, Easy To Play, but Addictive and Financially Risky!___"
22,10,22_Chess-themed clothing and accessories___
23,9,"23_Chess and Billiards-related content, including photos, quotes, and descriptions___"
24,8,"24_Chess, Cars, and Urban Photography___"
25,8,"25_May Lichess Game Contest, Dark Chess Journey, and Campus Gaming Showdown___"
26,8,"26_Chess, Psychotherapy, and Product Design___"
27,8,"27_Boys playing and learning chess, with a proud win documented against adults.___"
28,7,"28_Learning and playing chess, with a focus on Paul Morphy's biography___"
29,7,29_Chess and Networking in Lisbon/Lisboa and Cascais #lisbongambitphoto23___
30,6,"30_Chess-themed tattoos in Orlando, Florida___"
31,6,31_Chess themed cakes featuring chocolate and fondant decorations___
32,6,32_Art collective Maquillaje Beat and their literary and artistic pursuits___
33,6,33_Chess championships in Udaipur and a new Grand Master from Madhya Pradesh___
34,6,34_Chess achievements and tournament results at GM Vishnu's Chess Club___
35,6,"35_Chess, Poetry, and Mindset___"
36,6,36_Chess and Playful Pets - Images of Chess Games and Cute Animals with Toys and Vapes.___
37,5,"37_Chess-related pictures, books, and discussions including famous players such as Bobby Fischer and Messi vs Cristiano debates.___"
38,5,38_Chess in Urban Environments___
39,5,39_Chess and Lifestyle with TWN Chess Club and Chess Players___
